match_date,match_time,home_team,away_team,referee_team
2000-01-01,00:00,Volley2B HR 1,VC Olympia HR 1,Volley2B DS 7
2024-01-12,19:30,Volley2B DS 5,Intermezzo DS 2,Volley2B DS 9
2024-01-12,19:30,Volley2B DS 7,Punch DS 5,Volley2B DS 9
2024-01-12,19:30,Volley2B JA 2,Move4U JA 1,Volley2B DS 9
2024-01-12,21:15,Volley2B HS 5,Volley Lek en IJssel HS 5,Volley2B DS 7
2024-01-12,21:15,Volley2B XR 2,Erasmus Volley XR 3,Volley2B DS 7
2024-01-12,21:15,Volley2B XR 5,Volley2B XR 6,Volley2B DS 7
2024-01-13,11:15,Volley2B MB 1,Peelpush MB 1,Volley2B DS 9
2024-01-13,11:15,Volley2B MC 3,Volley2B MC 4,Volley2B DS 9
2024-01-13,11:15,Volley2B MC 1,Flamingo's'56 MC 1,Volley2B DS 9
2024-01-13,13:00,Volley2B DS 9,VC WIK Groot-Ammers DS 5,Volley2B DS 8
2024-01-13,13:00,Volley2B MC 6,Smash'66 MC 2,Volley2B DS 8
2024-01-13,15:00,Volley2B DS 4,Bernisse DS 1,Volley2B DS 9
2024-01-13,15:00,Volley2B DS 6,Phoenix DS 1,Volley2B DS 9
2024-01-13,15:00,Volley2B MC 5,Volley Voorne MC 1,Volley2B DS 9
2024-01-13,17:00,Volley2B HS 3,Volley Lek en IJssel HS 3,Volley2B DS 9
2024-01-13,17:00,Volley2B JC 1,Vovero JC 1,Volley2B DS 9
2024-01-13,19:00,Volley2B JB 1,VOLEVO JB 1,Volley2B DS 8
2024-01-13,19:00,Volley2B MA 4,Volley Lek en IJssel MA 2,Volley2B DS 8
2024-01-13,19:00,Volley2B MB 5,Flits MB 2,Volley2B DS 8
2024-01-19,19:30,Volley2B JA 1,VV Utrecht JA 1,Volley2B DS 7
2024-01-19,19:30,Volley2B MA 4,Move4U MA 1,Volley2B DS 7
2024-01-19,21:15,Volley2B XR 1,Volcano XR 2,Volley2B DS 7
2024-01-19,21:15,Volley2B XR 3,Hou Stand XR 5,Volley2B DS 7
2024-01-19,21:15,Volley2B XR 4,Hou Stand XR 6,Volley2B DS 7
2024-01-20,11:15,Volley2B DS 8,Intermezzo DS 3,Volley2B DS 5
2024-01-20,11:15,Volley2B JC 3,Vollido JC 1,Volley2B DS 5
2024-01-20,11:15,Volley2B MC 6,Vridos MC 1,Volley2B DS 5
2024-01-20,13:00,Volley2B DS 5,Move4U DS 1,Volley2B DS 8
2024-01-20,13:00,Volley2B JC 2,Yum JC 1,Volley2B DS 8
2024-01-20,13:00,Volley2B MA 2,Vollido MA 2,Volley2B DS 8
2024-01-20,15:00,Volley2B HS 4,Kalinko HS 2,Volley2B DS 5
2024-01-20,15:00,Volley2B MC 2,Vollido MC 1,Volley2B DS 5
2024-01-20,15:00,Volley2B MC 4,WHV MC 1,Volley2B DS 5
2024-01-20,17:00,Volley2B DS 2,Sliedrecht Sport DS 5,Volley2B DS 5
2024-01-20,17:00,Volley2B MA 3,Spivo MA 1,Volley2B DS 5
2024-01-26,19:30,Volley2B MA 3,Forza Schouwen-Duiveland MA 1,Volley2B DS 7
2024-01-26,19:30,Volley2B MB 1,Next Volley Dordrecht MB 1,Volley2B DS 7
2024-01-26,19:30,Volley2B HR 2,ZVH HR 1,Volley2B DS 7
2024-01-26,21:15,Volley2B DS 3,Sliedrecht Sport DS 7,Volley2B DS 5
2024-01-26,21:15,Volley2B DS 7,Sovicos DS 2,Volley2B DS 5
2024-01-26,21:15,Volley2B HR 1,Gemini-Kangeroes HR 1,Volley2B DS 5
2024-01-27,11:15,Volley2B DS 9,Sliedrecht Sport DS 14,Volley2B DS 6
2024-01-27,11:15,Volley2B MA 1,Atak'55 MA 1,Volley2B DS 6
2024-01-27,11:15,Volley2B MC 4,Smash'66 MC 1,Volley2B DS 6
2024-01-27,13:00,Volley2B DS 4,Flits DS 2,Volley2B DS 9
2024-01-27,13:00,Volley2B MC 1,Sliedrecht Sport MC 1,Volley2B DS 9
2024-01-27,15:00,Volley2B DS 6,Vridos DS 2,Volley2B DS 9
2024-01-27,15:00,Volley2B HS 3,Volley Zuid HS 3,Volley2B DS 9
2024-01-27,15:00,Volley2B JA 2,Fusion Rotterdam JA 2,Volley2B DS 9
2024-01-27,17:00,Volley2B HS 5,Switch'89 HS 2,Volley2B DS 6
2024-01-27,17:00,Volley2B JC 1,Vridos JC 1,Volley2B DS 6
2024-02-02,19:30,Volley2B JA 1,Vocon JA 1,Volley2B DS 8
2024-02-02,19:30,Volley2B MB 1,Voltena MB 1,Volley2B DS 8
2024-02-02,19:30,Volley2B XR 4,Hou Stand XR 7,Volley2B DS 8
2024-02-02,21:15,Volley2B DS 8,Hou Stand DS 3,Volley2B DS 7
2024-02-02,21:15,Volley2B XR 6,Astrea XR 5,Volley2B DS 7
2024-02-02,21:15,Volley2B HR 1,Volley2B HR 2,Volley2B DS 7
2024-02-03,11:15,Volley2B MA 4,Volley Meerkerk'95 MA 1,Volley2B DS 9
2024-02-03,11:15,Volley2B MA 1,Vollido MA 1,Volley2B DS 9
2024-02-03,11:15,Volley2B MC 1,ODI MC 1,Volley2B DS 9
2024-02-03,13:00,Volley2B DS 2,Erasmus Volley DS 3,Volley2B DS 9
2024-02-03,13:00,Volley2B MB 4,Voltena MB 2,Volley2B DS 9
2024-02-03,13:00,Volley2B MC 2,Meteoor MC 1,Volley2B DS 9
2024-02-03,15:00,Volley2B JC 1,Vridos JC 1,Volley2B DS 9
2024-02-03,15:00,Volley2B JC 3,Hou Stand JC 1,Volley2B DS 9
2024-02-03,17:00,Volley2B MB 5,Spivo MB 1,Volley2B DS 9
2024-02-03,19:00,Volley2B MB 6,Vovero MB 1,Volley2B DS 6
2024-02-03,19:15,Volley2B JA 2,VC WIK Groot-Ammers JA 1,Volley2B DS 6
2024-02-03,19:15,Volley2B MA 3,Apollo MA 1,Volley2B DS 6
2024-02-09,19:30,Volley2B XR 5,Volley2B XR 6,Volley2B DS 7
2024-02-09,21:15,Volley2B DS 7,Inter Rijswijk DS 5,Volley2B DS 5
2024-02-09,21:15,Volley2B XR 2,RVC/Libanon '50 XR 2,Volley2B DS 5
2024-02-13,18:00,Volley2B MC 4,Volley2B MC 3,Volley2B DS 7
2024-02-16,19:00,Volley2B MB 4,VC WIK Groot-Ammers MB 1,Volley2B DS 7
2024-02-16,19:00,Volley2B MB 5,Fusion Rotterdam MB 2,Volley2B DS 7
2024-02-16,19:30,Volley2B JB 1,Inter Rijswijk JB 2,Volley2B DS 7
2024-02-17,11:15,Volley2B DS 3,SNA DS 1,Volley2B DS 7
2024-02-17,11:15,Volley2B JC 2,Volley Zuid JC 1,Volley2B DS 7
2024-02-17,11:15,Volley2B MC 5,DVO MC 1,Volley2B DS 7
2024-02-17,13:00,Volley2B DS 9,SNA DS 3,Volley2B DS 7
2024-02-17,13:00,Volley2B HS 3,Flits HS 2,Volley2B DS 7
2024-02-17,13:00,Volley2B MA 2,Voltena MA 1,Volley2B DS 5
2024-02-17,15:00,Volley2B DS 4,Forza Schouwen-Duiveland DS 1,Volley2B DS 5
2024-02-17,15:00,Volley2B MA 3,CVV-Spirit MA 1,Volley2B DS 5
2024-03-01,19:30,Volley2B MA 2,VC 't Aogje MA 1,Volley2B DS 5
2024-03-01,19:30,Volley2B HR 2,VVV Delta HR 1,Volley2B DS 5
2024-03-01,21:15,Volley2B DS 5,Volley Zuid DS 4,Volley2B DS 6
2024-03-01,21:15,Volley2B XR 3,V.V.Nissewaard XR 1,Volley2B DS 6
2024-03-01,21:15,Volley2B XR 4,Volley Zuid XR 3,Volley2B DS 6
2024-03-02,11:15,Volley2B DS 8,Apollo DS 2,Volley2B DS 5
2024-03-02,11:15,Volley2B JC 1,Vovero JC 1,Volley2B DS 5
2024-03-02,11:15,Volley2B MC 5,VCN MC 1,Volley2B DS 5
2024-03-02,13:00,Volley2B DS 2,VCN DS 5,Volley2B DS 8
2024-03-02,13:00,Volley2B JB 1,VCN JB 1,Volley2B DS 8
2024-03-02,13:00,Volley2B MC 2,Next Volley Dordrecht MC 1,Volley2B DS 8
2024-03-02,15:00,Volley2B HS 4,VOLEVO HS 3,Volley2B DS 8
2024-03-02,15:00,Volley2B MB 4,AVVA MB 1,Volley2B DS 8
2024-03-02,17:00,Volley2B MB 6,Intermezzo MB 1,Volley2B DS 5
2024-03-02,17:15,Volley2B HS 1,Volley Lek en IJssel HS 1,Volley2B DS 5
2024-03-08,19:30,Volley2B JA 1,Zaanstad JA 1,Volley2B DS 5
2024-03-08,19:30,Volley2B MA 1,Sliedrecht Sport MA 1,Volley2B DS 5
2024-03-08,19:30,Volley2B XR 6,Erasmus Volley XR 10,Volley2B DS 8
2024-03-08,21:15,Volley2B DS 7,Servylo DS 1,Volley2B DS 8
2024-03-08,21:15,Volley2B HS 2,Erasmus Volley HS 2,Volley2B DS 8
2024-03-09,11:00,Volley2B JC 3,Fusion Rotterdam JC 1,Volley2B DS 8
2024-03-09,11:15,Volley2B HS 5,Yum HS 1,Volley2B DS 8
2024-03-09,11:15,Volley2B MC 3,Sliedrecht Sport MC 3,Volley2B DS 8
2024-03-09,13:00,Volley2B DS 3,Vedo'70 DS 1,Volley2B DS 8
2024-03-09,13:00,Volley2B MC 6,Molenwiek'74 MC 1,Volley2B DS 8
2024-03-09,13:00,Volley2B MC 1,Flamingo's'56 MC 1,Volley2B DS 8
2024-03-09,15:00,Volley2B DS 6,AVVA DS 2,Volley2B DS 2
2024-03-09,15:00,Volley2B MA 2,Jola Olympus MA 1,Volley2B DS 2
2024-03-09,15:00,Volley2B MB 2,Sliedrecht Sport MB 3,Volley2B DS 2
2024-03-09,17:00,Volley2B DS 9,Vollido DS 4,Volley2B DS 6
2024-03-09,17:00,Volley2B HS 3,Vollido HS 3,Volley2B DS 6
2024-03-09,19:00,Volley2B DS 4,Hou Stand DS 1,Volley2B DS 6
2024-03-09,19:00,Volley2B MA 3,Intermezzo MA 1,Volley2B DS 6
2024-03-13,21:15,Volley2B XR 2,Astrea XR 1,Volley2B DS 6
2024-03-14,21:00,Volley2B DS 6,SNA DS 2,Volley2B DS 2
2024-03-15,19:30,Volley2B DS 2,Sliedrecht Sport DS 8,Volley2B DS 6
2024-03-15,19:30,Volley2B JA 1,Inter Rijswijk JA 1,Volley2B DS 6
2024-03-15,19:30,Volley2B MB 6,Hou Stand MB 3,Volley2B DS 6
2024-03-15,21:15,Volley2B DS 7,MVC DS 1,Volley2B DS 6
2024-03-15,21:15,Volley2B XR 1,Netwerk XR 2,Volley2B DS 6
2024-03-15,21:15,Volley2B XR 6,Switch'89 XR 2,Volley2B DS 6
2024-03-16,11:15,Volley2B JB 1,Sliedrecht Sport JB 1,Volley2B DS 6
2024-03-16,11:15,Volley2B JC 2,VCN JC 2,Volley2B DS 6
2024-03-16,11:15,Volley2B MC 6,Hou Stand MC 4,Volley2B DS 6
2024-03-16,13:00,Volley2B DS 8,Vovero DS 2,Volley2B DS 2
2024-03-16,13:00,Volley2B HS 4,Monza HS 1,Volley2B DS 2
2024-03-16,13:00,Volley2B MC 1,Sliedrecht Sport MC 1,Volley2B DS 2
2024-03-16,15:00,Volley2B DS 1,Voltena DS 3,Volley2B DS 2
2024-03-16,15:00,Volley2B JA 2,VC WIK Groot-Ammers JA 1,Volley2B DS 2
2024-03-16,15:00,Volley2B MC 4,Sliedrecht Sport MC 3,Volley2B DS 2
2024-03-16,17:00,Volley2B MB 4,CVV-Spirit MB 2,Volley2B DS 2
2024-03-16,17:15,Volley2B HS 1,Hands up HS 1,Volley2B DS 2
2024-03-22,19:30,Volley2B DS 9,WHV DS 3,Volley2B DS 2
2024-03-22,19:30,Volley2B XR 4,V.V.Nissewaard XR 2,Volley2B DS 2
2024-03-22,21:15,Volley2B DS 6,Molenwiek'74 DS 2,Volley2B DS 2
2024-03-22,21:15,Volley2B XR 3,VOIO '72 XR 3,Volley2B DS 2
2024-03-22,21:15,Volley2B XR 6,Hou Stand XR 9,Volley2B DS 2
2024-03-23,11:15,Volley2B JC 1,Smash'66 JC 1,Volley2B DS 2
2024-03-23,11:15,Volley2B MA 4,Hou Stand MA 1,Volley2B DS 3
2024-03-23,11:15,Volley2B MB 5,Hou Stand MB 2,Volley2B DS 3
2024-03-23,13:00,Volley2B HS 3,OKK '70 HS 2,Volley2B DS 3
2024-03-23,13:00,Volley2B JA 2,Fusion Rotterdam JA 2,Volley2B DS 3
2024-03-23,13:00,Volley2B MC 3,WHV MC 1,Volley2B DS 3
2024-03-23,15:00,Volley2B DS 4,Volley Voorne DS 1,Volley2B DS 3
2024-03-23,15:00,Volley2B MB 2,OKK '70 MB 1,Volley2B DS 3
2024-03-23,17:00,Volley2B DS 3,Volley Meerkerk'95 DS 3,Volley2B DS 1
2024-03-23,17:00,Volley2B HS 2,HWVV Fidus HS 1,Volley2B DS 1
2024-03-29,19:30,Volley2B MA 4,VC WIK Groot-Ammers MA 1,Volley2B DS 3
2024-03-29,19:30,Volley2B MA 1,Volley Lek en IJssel MA 1,Volley2B DS 3
2024-03-29,19:30,Volley2B MB 2,Smash'66 MB 1,Volley2B DS 3
2024-03-30,11:15,Volley2B DS 2,Flits DS 1,Volley2B DS 3
2024-03-30,11:15,Volley2B JC 2,Intermezzo JC 2,Volley2B DS 3
2024-03-30,11:15,Volley2B MB 4,Sliedrecht Sport MB 4,Volley2B DS 3
2024-03-30,13:00,Volley2B DS 6,Move4U DS 2,Volley2B DS 3
2024-03-30,13:00,Volley2B HS 3,VC WIK Groot-Ammers HS 5,Volley2B DS 3
2024-03-30,13:00,Volley2B JC 3,VCN JC 3,Volley2B DS 4
2024-03-30,15:00,Volley2B DS 4,RVC/Libanon '50 DS 4,Volley2B HS 1
2024-03-30,15:00,Volley2B DS 3,VC WIK Groot-Ammers DS 4,Volley2B HS 1
2024-03-30,15:00,Volley2B MA 3,Fusion Rotterdam MA 1,Volley2B HS 1
2024-03-30,17:15,Volley2B HS 1,Hajraa HS 1,Volley2B DS 1
2024-03-30,17:15,Volley2B MA 2,Smash'66 MA 1,Volley2B DS 1
2024-03-30,19:15,Volley2B DS 8,Forza Schouwen-Duiveland DS 2,Volley2B DS 1
2024-04-02,21:15,Volley2B XR 5,Erasmus Volley XR 10,Volley2B DS 1
2024-04-05,19:30,Volley2B JA 1,Taurus JA 1,Volley2B DS 1
2024-04-05,19:30,Volley2B MB 4,Switch'89 MB 1,Volley2B DS 1
2024-04-05,19:30,Volley2B XR 1,Inter Rijswijk XR 2,Volley2B DS 1
2024-04-05,21:15,Volley2B HS 3,VCN HS 3,Volley2B DS 1
2024-04-05,21:15,Volley2B XR 3,Move4U XR 3,Volley2B DS 1
2024-04-05,21:15,Volley2B HR 2,VVV Delta HR 2,Volley2B HS 4
2024-04-06,11:15,Volley2B DS 8,Flits DS 4,Volley2B DS 4
2024-04-06,11:15,Volley2B JB 1,VCE/PSV JB 1,Volley2B DS 4
2024-04-06,11:15,Volley2B MB 1,Set Up MB 1,Volley2B DS 4
2024-04-06,13:00,Volley2B DS 5,Smash'66 DS 4,Volley2B HS 5
2024-04-06,13:00,Volley2B JC 3,Next Volley Dordrecht JC 1,Volley2B HS 5
2024-04-06,15:00,Volley2B DS 4,DVO DS 2,Volley2B HS 5
2024-04-06,15:00,Volley2B DS 2,Volley Zuid DS 3,Volley2B HS 5
2024-04-06,15:00,Volley2B JC 1,Smash'66 JC 1,Volley2B HS 2
2024-04-06,17:00,Volley2B DS 1,Volley Zuid DS 1,Volley2B HS 1
2024-04-06,17:00,Volley2B JC 2,DVO JC 1,Volley2B HS 2
2024-04-06,17:00,Volley2B MC 3,Smash'66 MC 1,Volley2B HS 2
2024-04-06,19:00,Volley2B MB 6,Spivo MB 2,Volley2B HS 4
2024-04-06,19:15,Volley2B HS 1,VC Landgraaf HS 1,Volley2B HS 4
2024-04-12,19:30,Volley2B MA 1,Nuvoc MA 1,Volley2B HS 4
2024-04-12,19:30,Volley2B XR 4,VOIO '72 XR 4,Volley2B HS 6
2024-04-12,21:15,Volley2B XR 1,VVV Delta XR 1,Volley2B HS 6
2024-04-12,21:15,Volley2B XR 6,Erasmus Volley XR 10,Volley2B HS 6
2024-04-12,21:15,Volley2B HR 1,Volepo HR 1,Volley2B HS 6
2024-04-13,11:15,Volley2B HS 5,Next Volley Dordrecht HS 6,Volley2B HS 2
2024-04-13,11:15,Volley2B MB 2,Vollido MB 1,Volley2B HS 7
2024-04-13,11:15,Volley2B MC 2,Sliedrecht Sport MC 2,Volley2B HS 7
2024-04-13,13:00,Volley2B DS 3,Next Volley Dordrecht DS 4,Volley2B HS 7
2024-04-13,13:00,Volley2B DS 9,DVO DS 3,Volley2B HS 7
2024-04-13,15:00,Volley2B DS 6,Next Volley Dordrecht DS 5,Volley2B HS 3
2024-04-13,15:00,Volley2B MC 5,HWVV Fidus MC 1,Volley2B HS 3
2024-04-13,17:00,Volley2B HS 4,PQV Westland HS 1,Volley2B HS 3
2024-04-13,17:00,Volley2B JC 2,Spirit JC 1,Volley2B HS 3
